K
1484.4
1291.9
1125.1
1101.4
1054.3
1030.8
1007.3
983.9
937.4
914.2
822.4
777.1
732.2
687.8
643.9
622.1
600.5
557.8
536.8
515.9
474.7
454.4
434.8
414.9
395.4
375.8
356.8
319.2
300.9
283.1
265.2
247.9
231.1
214.4
198.3
182.5
167.3
152.4
138
124.6
111.6
99.3
87.9
77.2
43.1
22.1
11.2
6.1
2
2.2
2.65
2.9
3.2
3.8
4.1
4.5
5.3
6.3
7.5
8.7
9.5
10.3
11.1
12
13.8
16
18.6
21.6
23.2
24.9
28.7
35.2
37.7
40.3
43
49
52.1
55.4
59.2
62.9
66.9
71.3
75.7
80.2
85.2
90.3
95.7
101.4
107.4
113.7
120.4
127.4
134.7
142.4
150.4
159
167.9
177.5
198.1
221.4
277.8
386.1
472.3
